Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2013T4;Dentro de España;Actividades anexas al transporte;5221 + 5223;2531590,61
2013T4;Dentro de España;Actividades cinematográficas y de vídeo;5917 + 7722;14123176,03
2013T4;Dentro de España;Actividades deportivas y recreativas;93;13455701,53
2013T4;Dentro de España;Administración pública, impuestos y seg. Social;8411;79934849,71
2013T4;Dentro de España;Agencias de viajes y operadores turísticos;7911 + 7912;212952420,63
2013T4;Dentro de España;Alquiler de aeronaves;7735;53502,02
2013T4;Dentro de España;Alquiler de automóviles;7711;2606925,47
2013T4;Dentro de España;Alquiler de efectos personales y enseres domésticos;7729;26,51
2013T4;Dentro de España;Alquiler de medios de navegación;7734;31893,13
2013T4;Dentro de España;Arquitectura e ingeniería;7111;926369,23
2013T4;Dentro de España;Artículos de regalo;4778;22329837,4
2013T4;Dentro de España;Artículos médicos y ortopédicos;4774;1275,26
2013T4;Dentro de España;Asociacionismo y beneficencia;94;10057564,02
2013T4;Dentro de España;Bebidas;4725;42723,01
2013T4;Dentro de España;Bibliotecas, museos y patrimonio cultural;91;1633919,38
2013T4;Dentro de España;Bienes de segunda mano;4779;13851,46
2013T4;Dentro de España;Calzado y artículos de cuero;4772;7066948,98
2013T4;Dentro de España;Carburantes para automoción;4730;834746,84
2013T4;Dentro de España;Componentes y equipos electrónicos;4652;12668,07
2013T4;Dentro de España;Construcción de inmuebles y obras de ingeniería civil;41;59,31
2013T4;Dentro de España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;293284,02
2013T4;Dentro de España;Discos, libros, periódicos y papelería;4761 + 4763;24742592,12
2013T4;Dentro de España;Educación;85;19662353,19
2013T4;Dentro de España;Electrodomésticos,  imagen y sonido;4743+4754;66707364,09
2013T4;Dentro de España;Energía eléctrica, gas, vapor y aire acondicionado;35;27191,58
2013T4;Dentro de España;Ensayos y análisis técnicos;7120;430,5
2013T4;Dentro de España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;35951326,49
2013T4;Dentro de España;Equipos y mobiliario de oficina;4665+4666;1569,9
2013T4;Dentro de España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;163555319,64
2013T4;Dentro de España;Ferretería, pinturas y vidrio;4674 + 4752;4576270,46
2013T4;Dentro de España;Floristerías;4622;32,56
2013T4;Dentro de España;Galerías de arte comerciales;470069;5087725,58
2013T4;Dentro de España;Grandes almacenes;4719;11219487,79
2013T4;Dentro de España;Hipermercados, supermercados y tiendas de alimentación;4711;46305430,83
2013T4;Dentro de España;Hoteles  y alojamientos similares;5510;6666637,86
2013T4;Dentro de España;Instalaciones de edificios y obras;43;1019,53
2013T4;Dentro de España;Intermediación financiera;6419 + 6619;3452469,2
2013T4;Dentro de España;Intermediarios de comercio;4617;96866,86
2013T4;Dentro de España;Juegos de azar y apuestas;92;33651346,12
2013T4;Dentro de España;Juguetes y artículos de deporte;4764 + 4765;25069827,51
2013T4;Dentro de España;Lavanderías y tintorerías;9601;2361,77
2013T4;Dentro de España;Madera, materiales de construcción y aparatos sanitarios;4673;0
2013T4;Dentro de España;Manipulación y depósito de mercancías;5224 + 5210;199,83
2013T4;Dentro de España;Mantenimiento físico corporal;9604;103313,33
2013T4;Dentro de España;Mantenimiento y  reparación de vehículos de motor;4520;2728999,39
2013T4;Dentro de España;Marketing directo;4799;87403153,06
2013T4;Dentro de España;Materias primas y productos semielaborados;4676;430,16
2013T4;Dentro de España;Metales y minerales metálicos;4672;0
2013T4;Dentro de España;Muebles, iluminación y hogar;4753 + 4759;7007820,44
2013T4;Dentro de España;Óptica, fotografía y precisión;470083;4318604,09
2013T4;Dentro de España;Ordenadores y programas informáticos;4651 + 4741;43830782,14
2013T4;Dentro de España;Otra reparación;9529;13291,83
2013T4;Dentro de España;Otro comercio especializado en alimentación;4729;13062828,91
2013T4;Dentro de España;Otro comercio no especializado;4690;22784,37
2013T4;Dentro de España;Otros;-;2880058,93
2013T4;Dentro de España;Otros artículos de uso doméstico;4649;2107,46
2013T4;Dentro de España;Otros servicios personales;9609;1193201,27
2013T4;Dentro de España;Panadería, confitería y pastelería;4724;128379,3
2013T4;Dentro de España;Parques de atracciones y parques temáticos;9321;554780,61
2013T4;Dentro de España;Peluquería y tratamientos de belleza;9602;2552941,71
2013T4;Dentro de España;Perfumería, cosméticos y artículos de tocador;4775;37330782,3
2013T4;Dentro de España;Pompas fúnebres;9603;100133,13
2013T4;Dentro de España;Prendas de vestir;4771;92261113,06
2013T4;Dentro de España;Productos de tabaco;4726;36897,17
2013T4;Dentro de España;Productos farmacéuticos;4646 + 4773;7306425,55
2013T4;Dentro de España;Productos químicos;4675;22080,38
2013T4;Dentro de España;Publicidad;7311;29962745,5
2013T4;Dentro de España;Relojería, joyería y platería;4648+ 4777;1166426,04
2013T4;Dentro de España;Reparación de aparatos domésticos eléctricos;9521;1131,37
2013T4;Dentro de España;Reparación de calzado y otros artículos de cuero;9523;2765,37
2013T4;Dentro de España;Repuestos y accesorios de vehículos de motor;4532;5979207,25
2013T4;Dentro de España;Restaurantes;5610;8660245,01
2013T4;Dentro de España;Seguros y planes de pensiones;6512;12919721,46
2013T4;Dentro de España;Selección y colocación de personal;7810;562,8
2013T4;Dentro de España;Semillas, flores, plantas y animales de compañía;4776;4491606,12
2013T4;Dentro de España;Servicios auxiliares a la intermediación financiera;6610;30626,09
2013T4;Dentro de España;Servicios de  jardinería;8130;43,45
2013T4;Dentro de España;Servicios de fotografía y reprografía;7420+ 8219;14602,13
2013T4;Dentro de España;Servicios de investigación;8030;0
2013T4;Dentro de España;Servicios de limpieza;8121;0
2013T4;Dentro de España;Servicios informáticos;6209;106441,92
2013T4;Dentro de España;Servicios inmobiliarios;6820;1143199,66
2013T4;Dentro de España;Servicios postales y paquetería;5310;18738,5
2013T4;Dentro de España;Servicios sanitarios;86;1116000,47
2013T4;Dentro de España;Servicios sociales;88;3041,55
2013T4;Dentro de España;Servicios veterinarios;75;193,38
2013T4;Dentro de España;Suscripción canales tv;6020;586421,29
2013T4;Dentro de España;Transporte aéreo;5110;102311293,06
2013T4;Dentro de España;Transporte marítimo;5010;231818,72
2013T4;Dentro de España;Transporte terrestre de mercancias;4941;910681,8
2013T4;Dentro de España;Transporte terrestre de viajeros;4931 +4933 + 4939;153430708
2013T4;Dentro de España;Vehículos de motor;4511;8596,47
2013T4;Dentro de España;Ventas genéricas por internet;4791;3831402,19
2013T4;Desde el exterior con España;Actividades anexas al transporte;5221 + 5223;47576,72
2013T4;Desde el exterior con España;Actividades cinematográficas y de vídeo;5917 + 7722;8020975,17
2013T4;Desde el exterior con España;Actividades deportivas y recreativas;93;761120,2
2013T4;Desde el exterior con España;Administración pública, impuestos y seg. Social;8411;5980105,5
2013T4;Desde el exterior con España;Agencias de viajes y operadores turísticos;7911 + 7912;201661385,76
2013T4;Desde el exterior con España;Alquiler de aeronaves;7735;12155
2013T4;Desde el exterior con España;Alquiler de automóviles;7711;6198889,67
2013T4;Desde el exterior con España;Alquiler de efectos personales y enseres domésticos;7729;0
2013T4;Desde el exterior con España;Alquiler de medios de navegación;7734;216990,83
2013T4;Desde el exterior con España;Arquitectura e ingeniería;7111;98062,69
2013T4;Desde el exterior con España;Artículos de regalo;4778;2352174,48
2013T4;Desde el exterior con España;Artículos médicos y ortopédicos;4774;0
2013T4;Desde el exterior con España;Asociacionismo y beneficencia;94;424682,11
2013T4;Desde el exterior con España;Bebidas;4725;6662,23
2013T4;Desde el exterior con España;Bibliotecas, museos y patrimonio cultural;91;295470,41
2013T4;Desde el exterior con España;Bienes de segunda mano;4779;0
2013T4;Desde el exterior con España;Calzado y artículos de cuero;4772;2458566,76
2013T4;Desde el exterior con España;Carburantes para automoción;4730;39037,51
2013T4;Desde el exterior con España;Componentes y equipos electrónicos;4652;0
2013T4;Desde el exterior con España;Construcción de inmuebles y obras de ingeniería civil;41;0
2013T4;Desde el exterior con España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;0
2013T4;Desde el exterior con España;Discos, libros, periódicos y papelería;4761 + 4763;2925596,27
2013T4;Desde el exterior con España;Educación;85;6857057,78
2013T4;Desde el exterior con España;Electrodomésticos,  imagen y sonido;4743+4754;2441878,34
2013T4;Desde el exterior con España;Energía eléctrica, gas, vapor y aire acondicionado;35;66,91
2013T4;Desde el exterior con España;Ensayos y análisis técnicos;7120;0
2013T4;Desde el exterior con España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;3138481,45
2013T4;Desde el exterior con España;Equipos y mobiliario de oficina;4665+4666;0
2013T4;Desde el exterior con España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;18861082,61
2013T4;Desde el exterior con España;Ferretería, pinturas y vidrio;4674 + 4752;511514,49
2013T4;Desde el exterior con España;Floristerías;4622;0
2013T4;Desde el exterior con España;Galerías de arte comerciales;470069;738440,52
2013T4;Desde el exterior con España;Grandes almacenes;4719;468319,8
2013T4;Desde el exterior con España;Hipermercados, supermercados y tiendas de alimentación;4711;3243873,03
2013T4;Desde el exterior con España;Hoteles  y alojamientos similares;5510;21080930,53
2013T4;Desde el exterior con España;Instalaciones de edificios y obras;43;0
2013T4;Desde el exterior con España;Intermediación financiera;6419 + 6619;46208,09
2013T4;Desde el exterior con España;Intermediarios de comercio;4617;0
2013T4;Desde el exterior con España;Juegos de azar y apuestas;92;422714,72
2013T4;Desde el exterior con España;Juguetes y artículos de deporte;4764 + 4765;14355963,76
2013T4;Desde el exterior con España;Lavanderías y tintorerías;9601;1203,62
2013T4;Desde el exterior con España;Madera, materiales de construcción y aparatos sanitarios;4673;0
2013T4;Desde el exterior con España;Manipulación y depósito de mercancías;5224 + 5210;0
2013T4;Desde el exterior con España;Mantenimiento físico corporal;9604;10224,75
2013T4;Desde el exterior con España;Mantenimiento y  reparación de vehículos de motor;4520;222064,06
2013T4;Desde el exterior con España;Marketing directo;4799;12170850,12
2013T4;Desde el exterior con España;Materias primas y productos semielaborados;4676;0
2013T4;Desde el exterior con España;Metales y minerales metálicos;4672;0
2013T4;Desde el exterior con España;Muebles, iluminación y hogar;4753 + 4759;463832,56
2013T4;Desde el exterior con España;Óptica, fotografía y precisión;470083;413818,4
2013T4;Desde el exterior con España;Ordenadores y programas informáticos;4651 + 4741;3699886,56
2013T4;Desde el exterior con España;Otra reparación;9529;0
2013T4;Desde el exterior con España;Otro comercio especializado en alimentación;4729;151126,44
2013T4;Desde el exterior con España;Otro comercio no especializado;4690;0
2013T4;Desde el exterior con España;Otros;-;299246,7
2013T4;Desde el exterior con España;Otros artículos de uso doméstico;4649;0
2013T4;Desde el exterior con España;Otros servicios personales;9609;167907,55
2013T4;Desde el exterior con España;Panadería, confitería y pastelería;4724;96238,17
2013T4;Desde el exterior con España;Parques de atracciones y parques temáticos;9321;247146
2013T4;Desde el exterior con España;Peluquería y tratamientos de belleza;9602;149226,82
2013T4;Desde el exterior con España;Perfumería, cosméticos y artículos de tocador;4775;1603528,96
2013T4;Desde el exterior con España;Pompas fúnebres;9603;2645,3
2013T4;Desde el exterior con España;Prendas de vestir;4771;50857069,7
2013T4;Desde el exterior con España;Productos de tabaco;4726;368053,4
2013T4;Desde el exterior con España;Productos farmacéuticos;4646 + 4773;1043909,63
2013T4;Desde el exterior con España;Productos químicos;4675;0
2013T4;Desde el exterior con España;Publicidad;7311;16838085,36
2013T4;Desde el exterior con España;Relojería, joyería y platería;4648+ 4777;408983,15
2013T4;Desde el exterior con España;Reparación de aparatos domésticos eléctricos;9521;0
2013T4;Desde el exterior con España;Reparación de calzado y otros artículos de cuero;9523;0
2013T4;Desde el exterior con España;Repuestos y accesorios de vehículos de motor;4532;993236,81
2013T4;Desde el exterior con España;Restaurantes;5610;563888,66
2013T4;Desde el exterior con España;Seguros y planes de pensiones;6512;434829,58
2013T4;Desde el exterior con España;Selección y colocación de personal;7810;0
2013T4;Desde el exterior con España;Semillas, flores, plantas y animales de compañía;4776;3010610,46
2013T4;Desde el exterior con España;Servicios auxiliares a la intermediación financiera;6610;760
2013T4;Desde el exterior con España;Servicios de  jardinería;8130;0
2013T4;Desde el exterior con España;Servicios de fotografía y reprografía;7420+ 8219;0
2013T4;Desde el exterior con España;Servicios de investigación;8030;0
2013T4;Desde el exterior con España;Servicios de limpieza;8121;0
2013T4;Desde el exterior con España;Servicios informáticos;6209;0
2013T4;Desde el exterior con España;Servicios inmobiliarios;6820;4507136,18
2013T4;Desde el exterior con España;Servicios postales y paquetería;5310;3167,64
2013T4;Desde el exterior con España;Servicios sanitarios;86;1451171,46
2013T4;Desde el exterior con España;Servicios sociales;88;0
2013T4;Desde el exterior con España;Servicios veterinarios;75;0
2013T4;Desde el exterior con España;Suscripción canales tv;6020;90288,7
2013T4;Desde el exterior con España;Transporte aéreo;5110;78714501,16
2013T4;Desde el exterior con España;Transporte marítimo;5010;106890,7
2013T4;Desde el exterior con España;Transporte terrestre de mercancias;4941;251689,26
2013T4;Desde el exterior con España;Transporte terrestre de viajeros;4931 +4933 + 4939;10558965,41
2013T4;Desde el exterior con España;Vehículos de motor;4511;0
2013T4;Desde el exterior con España;Ventas genéricas por internet;4791;557388,76
2013T4;Desde España con el exterior;Actividades anexas al transporte;5221 + 5223;2490111,7
2013T4;Desde España con el exterior;Actividades cinematográficas y de vídeo;5917 + 7722;13917234,22
2013T4;Desde España con el exterior;Actividades deportivas y recreativas;93;714316,08
2013T4;Desde España con el exterior;Administración pública, impuestos y seg. Social;8411;2888191,72
2013T4;Desde España con el exterior;Agencias de viajes y operadores turísticos;7911 + 7912;88140191,27
2013T4;Desde España con el exterior;Alquiler de aeronaves;7735;5069,22
2013T4;Desde España con el exterior;Alquiler de automóviles;7711;11969051,42
2013T4;Desde España con el exterior;Alquiler de efectos personales y enseres domésticos;7729;17560,67
2013T4;Desde España con el exterior;Alquiler de medios de navegación;7734;159520,27
2013T4;Desde España con el exterior;Arquitectura e ingeniería;7111;73250,96
2013T4;Desde España con el exterior;Artículos de regalo;4778;46888117,95
2013T4;Desde España con el exterior;Artículos médicos y ortopédicos;4774;146486,64
2013T4;Desde España con el exterior;Asociacionismo y beneficencia;94;4797938,39
2013T4;Desde España con el exterior;Bebidas;4725;1552495,92
2013T4;Desde España con el exterior;Bibliotecas, museos y patrimonio cultural;91;1246376,5
2013T4;Desde España con el exterior;Bienes de segunda mano;4779;4660940,7
2013T4;Desde España con el exterior;Calzado y artículos de cuero;4772;27660274,13
2013T4;Desde España con el exterior;Carburantes para automoción;4730;27016,4
2013T4;Desde España con el exterior;Componentes y equipos electrónicos;4652;1916358,07
2013T4;Desde España con el exterior;Construcción de inmuebles y obras de ingeniería civil;41;70656,57
2013T4;Desde España con el exterior;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;43483825,98
2013T4;Desde España con el exterior;Discos, libros, periódicos y papelería;4761 + 4763;45667112,34
2013T4;Desde España con el exterior;Educación;85;10873048,96
2013T4;Desde España con el exterior;Electrodomésticos,  imagen y sonido;4743+4754;20467381,44
2013T4;Desde España con el exterior;Energía eléctrica, gas, vapor y aire acondicionado;35;297516,56
2013T4;Desde España con el exterior;Ensayos y análisis técnicos;7120;40451,69
2013T4;Desde España con el exterior;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;30242978,45
2013T4;Desde España con el exterior;Equipos y mobiliario de oficina;4665+4666;327941,43
2013T4;Desde España con el exterior;Espectáculos artísticos, deportivos y recreativos;90 + 7990;11674664,62
2013T4;Desde España con el exterior;Ferretería, pinturas y vidrio;4674 + 4752;6657111,92
2013T4;Desde España con el exterior;Floristerías;4622;19812,13
2013T4;Desde España con el exterior;Galerías de arte comerciales;470069;6940362,91
2013T4;Desde España con el exterior;Grandes almacenes;4719;6695661,32
2013T4;Desde España con el exterior;Hipermercados, supermercados y tiendas de alimentación;4711;20602996,05
2013T4;Desde España con el exterior;Hoteles  y alojamientos similares;5510;23736257,65
2013T4;Desde España con el exterior;Instalaciones de edificios y obras;43;173819,13
2013T4;Desde España con el exterior;Intermediación financiera;6419 + 6619;1576011,98
2013T4;Desde España con el exterior;Intermediarios de comercio;4617;7611899,82
2013T4;Desde España con el exterior;Juegos de azar y apuestas;92;77411405,88
2013T4;Desde España con el exterior;Juguetes y artículos de deporte;4764 + 4765;25490646,64
2013T4;Desde España con el exterior;Lavanderías y tintorerías;9601;9884,78
2013T4;Desde España con el exterior;Madera, materiales de construcción y aparatos sanitarios;4673;16820,75
2013T4;Desde España con el exterior;Manipulación y depósito de mercancías;5224 + 5210;18604,51
2013T4;Desde España con el exterior;Mantenimiento físico corporal;9604;631538,18
2013T4;Desde España con el exterior;Mantenimiento y  reparación de vehículos de motor;4520;985245,28
2013T4;Desde España con el exterior;Marketing directo;4799;88157735,46
2013T4;Desde España con el exterior;Materias primas y productos semielaborados;4676;318134,68
2013T4;Desde España con el exterior;Metales y minerales metálicos;4672;4584,18
2013T4;Desde España con el exterior;Muebles, iluminación y hogar;4753 + 4759;8165826,69
2013T4;Desde España con el exterior;Óptica, fotografía y precisión;470083;15284032,56
2013T4;Desde España con el exterior;Ordenadores y programas informáticos;4651 + 4741;16051446,91
2013T4;Desde España con el exterior;Otra reparación;9529;4085121,44
2013T4;Desde España con el exterior;Otro comercio especializado en alimentación;4729;6043,24
2013T4;Desde España con el exterior;Otro comercio no especializado;4690;6376528,05
2013T4;Desde España con el exterior;Otros;-;202929062,06
2013T4;Desde España con el exterior;Otros artículos de uso doméstico;4649;462659,1
2013T4;Desde España con el exterior;Otros servicios personales;9609;1381103,25
2013T4;Desde España con el exterior;Panadería, confitería y pastelería;4724;52012,26
2013T4;Desde España con el exterior;Parques de atracciones y parques temáticos;9321;90773,54
2013T4;Desde España con el exterior;Peluquería y tratamientos de belleza;9602;328029,4
2013T4;Desde España con el exterior;Perfumería, cosméticos y artículos de tocador;4775;11096500,15
2013T4;Desde España con el exterior;Pompas fúnebres;9603;10803,88
2013T4;Desde España con el exterior;Prendas de vestir;4771;97210537,81
2013T4;Desde España con el exterior;Productos de tabaco;4726;278268,5
2013T4;Desde España con el exterior;Productos farmacéuticos;4646 + 4773;3316513,91
2013T4;Desde España con el exterior;Productos químicos;4675;6320628,13
2013T4;Desde España con el exterior;Publicidad;7311;60742614,03
2013T4;Desde España con el exterior;Relojería, joyería y platería;4648+ 4777;3088242,64
2013T4;Desde España con el exterior;Reparación de aparatos domésticos eléctricos;9521;163822,93
2013T4;Desde España con el exterior;Reparación de calzado y otros artículos de cuero;9523;6519,21
2013T4;Desde España con el exterior;Repuestos y accesorios de vehículos de motor;4532;14014040,04
2013T4;Desde España con el exterior;Restaurantes;5610;465844,18
2013T4;Desde España con el exterior;Seguros y planes de pensiones;6512;6057196,99
2013T4;Desde España con el exterior;Selección y colocación de personal;7810;103222,56
2013T4;Desde España con el exterior;Semillas, flores, plantas y animales de compañía;4776;9445466,34
2013T4;Desde España con el exterior;Servicios auxiliares a la intermediación financiera;6610;16075674,37
2013T4;Desde España con el exterior;Servicios de  jardinería;8130;24493,43
2013T4;Desde España con el exterior;Servicios de fotografía y reprografía;7420+ 8219;1749152,49
2013T4;Desde España con el exterior;Servicios de investigación;8030;14548,15
2013T4;Desde España con el exterior;Servicios de limpieza;8121;19413,98
2013T4;Desde España con el exterior;Servicios informáticos;6209;18144882,7
2013T4;Desde España con el exterior;Servicios inmobiliarios;6820;4879070,52
2013T4;Desde España con el exterior;Servicios postales y paquetería;5310;321601,69
2013T4;Desde España con el exterior;Servicios sanitarios;86;2153978,09
2013T4;Desde España con el exterior;Servicios sociales;88;287193,78
2013T4;Desde España con el exterior;Servicios veterinarios;75;28372,62
2013T4;Desde España con el exterior;Suscripción canales tv;6020;73132731,02
2013T4;Desde España con el exterior;Transporte aéreo;5110;255623365,22
2013T4;Desde España con el exterior;Transporte marítimo;5010;1494570,23
2013T4;Desde España con el exterior;Transporte terrestre de mercancias;4941;220034,6
2013T4;Desde España con el exterior;Transporte terrestre de viajeros;4931 +4933 + 4939;10192520,44
2013T4;Desde España con el exterior;Vehículos de motor;4511;1155396,46
2013T4;Desde España con el exterior;Ventas genéricas por internet;4791;320,95
2014T1;Dentro de España;Actividades anexas al transporte;5221 + 5223;3523885,14
2014T1;Dentro de España;Actividades cinematográficas y de vídeo;5917 + 7722;12499954,77
2014T1;Dentro de España;Actividades deportivas y recreativas;93;18823335,96
2014T1;Dentro de España;Administración pública, impuestos y seg. Social;8411;50381358,76
2014T1;Dentro de España;Agencias de viajes y operadores turísticos;7911 + 7912;248626019,5
2014T1;Dentro de España;Alquiler de aeronaves;7735;36458,96
2014T1;Dentro de España;Alquiler de automóviles;7711;3225937,3
2014T1;Dentro de España;Alquiler de efectos personales y enseres domésticos;7729;0
2014T1;Dentro de España;Alquiler de medios de navegación;7734;64042,86
2014T1;Dentro de España;Arquitectura e ingeniería;7111;1069654,25
2014T1;Dentro de España;Artículos de regalo;4778;16551219,22
2014T1;Dentro de España;Artículos médicos y ortopédicos;4774;475,98
2014T1;Dentro de España;Asociacionismo y beneficencia;94;5169689,96
2014T1;Dentro de España;Bebidas;4725;33445,58
2014T1;Dentro de España;Bibliotecas, museos y patrimonio cultural;91;2112523,61
2014T1;Dentro de España;Bienes de segunda mano;4779;18587,22
2014T1;Dentro de España;Calzado y artículos de cuero;4772;7390965,78
2014T1;Dentro de España;Carburantes para automoción;4730;1000427,43
2014T1;Dentro de España;Componentes y equipos electrónicos;4652;15455,18
2014T1;Dentro de España;Construcción de inmuebles y obras de ingeniería civil;41;38
2014T1;Dentro de España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;164696,43
2014T1;Dentro de España;Discos, libros, periódicos y papelería;4761 + 4763;18131238,23
2014T1;Dentro de España;Educación;85;26108607,88
2014T1;Dentro de España;Electrodomésticos,  imagen y sonido;4743+4754;58258990,1
2014T1;Dentro de España;Energía eléctrica, gas, vapor y aire acondicionado;35;17233,26
2014T1;Dentro de España;Ensayos y análisis técnicos;7120;463
2014T1;Dentro de España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;37038497,51
2014T1;Dentro de España;Equipos y mobiliario de oficina;4665+4666;893,11
2014T1;Dentro de España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;148613235,36
2014T1;Dentro de España;Ferretería, pinturas y vidrio;4674 + 4752;4513409,61
2014T1;Dentro de España;Floristerías;4622;356,84
2014T1;Dentro de España;Galerías de arte comerciales;470069;5546610,29
2014T1;Dentro de España;Grandes almacenes;4719;13174025,01
2014T1;Dentro de España;Hipermercados, supermercados y tiendas de alimentación;4711;43548880,22
2014T1;Dentro de España;Hoteles  y alojamientos similares;5510;12511548,42
2014T1;Dentro de España;Instalaciones de edificios y obras;43;1079,37
2014T1;Dentro de España;Intermediación financiera;6419 + 6619;4472340,31
2014T1;Dentro de España;Intermediarios de comercio;4617;98725,9
2014T1;Dentro de España;Juegos de azar y apuestas;92;33476331,3
2014T1;Dentro de España;Juguetes y artículos de deporte;4764 + 4765;22678617,3
2014T1;Dentro de España;Lavanderías y tintorerías;9601;1978,26
2014T1;Dentro de España;Madera, materiales de construcción y aparatos sanitarios;4673;0
2014T1;Dentro de España;Manipulación y depósito de mercancías;5224 + 5210;507,26
2014T1;Dentro de España;Mantenimiento físico corporal;9604;115393,96
2014T1;Dentro de España;Mantenimiento y  reparación de vehículos de motor;4520;2996105,74
2014T1;Dentro de España;Marketing directo;4799;90108138,16
2014T1;Dentro de España;Materias primas y productos semielaborados;4676;1071,34
2014T1;Dentro de España;Metales y minerales metálicos;4672;0
2014T1;Dentro de España;Muebles, iluminación y hogar;4753 + 4759;7676173,06
2014T1;Dentro de España;Óptica, fotografía y precisión;470083;4123238,87
2014T1;Dentro de España;Ordenadores y programas informáticos;4651 + 4741;44012363,65
2014T1;Dentro de España;Otra reparación;9529;20036,28
2014T1;Dentro de España;Otro comercio especializado en alimentación;4729;5154549,76
2014T1;Dentro de España;Otro comercio no especializado;4690;22031,07
2014T1;Dentro de España;Otros;-;3200984,09
2014T1;Dentro de España;Otros artículos de uso doméstico;4649;2797,19
2014T1;Dentro de España;Otros servicios personales;9609;1358864,42
2014T1;Dentro de España;Panadería, confitería y pastelería;4724;151253,53
2014T1;Dentro de España;Parques de atracciones y parques temáticos;9321;60203,1
2014T1;Dentro de España;Peluquería y tratamientos de belleza;9602;2920644,38
2014T1;Dentro de España;Perfumería, cosméticos y artículos de tocador;4775;33161440,3
2014T1;Dentro de España;Pompas fúnebres;9603;119517,51
2014T1;Dentro de España;Prendas de vestir;4771;86203095,63
2014T1;Dentro de España;Productos de tabaco;4726;33820,25
2014T1;Dentro de España;Productos farmacéuticos;4646 + 4773;9410205,48
2014T1;Dentro de España;Productos químicos;4675;21393,27
2014T1;Dentro de España;Publicidad;7311;29912081,6
2014T1;Dentro de España;Relojería, joyería y platería;4648+ 4777;931920,93
2014T1;Dentro de España;Reparación de aparatos domésticos eléctricos;9521;795,62
2014T1;Dentro de España;Reparación de calzado y otros artículos de cuero;9523;4405,55
2014T1;Dentro de España;Repuestos y accesorios de vehículos de motor;4532;6499567,35
2014T1;Dentro de España;Restaurantes;5610;10200226,56
2014T1;Dentro de España;Seguros y planes de pensiones;6512;12304807,37
2014T1;Dentro de España;Selección y colocación de personal;7810;214,37
2014T1;Dentro de España;Semillas, flores, plantas y animales de compañía;4776;5327093,53
2014T1;Dentro de España;Servicios auxiliares a la intermediación financiera;6610;64763,04
2014T1;Dentro de España;Servicios de  jardinería;8130;167,71
2014T1;Dentro de España;Servicios de fotografía y reprografía;7420+ 8219;13571,66
2014T1;Dentro de España;Servicios de investigación;8030;37,94
2014T1;Dentro de España;Servicios de limpieza;8121;90
2014T1;Dentro de España;Servicios informáticos;6209;88927,64
2014T1;Dentro de España;Servicios inmobiliarios;6820;1358169,63
2014T1;Dentro de España;Servicios postales y paquetería;5310;19107,28
2014T1;Dentro de España;Servicios sanitarios;86;1175099,06
2014T1;Dentro de España;Servicios sociales;88;2721,95
2014T1;Dentro de España;Servicios veterinarios;75;190
2014T1;Dentro de España;Suscripción canales tv;6020;393761,8
2014T1;Dentro de España;Transporte aéreo;5110;128780555,12
2014T1;Dentro de España;Transporte marítimo;5010;293915,07
2014T1;Dentro de España;Transporte terrestre de mercancias;4941;920838,52
2014T1;Dentro de España;Transporte terrestre de viajeros;4931 +4933 + 4939;155125406,14
2014T1;Dentro de España;Vehículos de motor;4511;8829,77
2014T1;Dentro de España;Ventas genéricas por internet;4791;3699452,44
2014T1;Desde el exterior con España;Actividades anexas al transporte;5221 + 5223;50378,69
2014T1;Desde el exterior con España;Actividades cinematográficas y de vídeo;5917 + 7722;5040866,86
2014T1;Desde el exterior con España;Actividades deportivas y recreativas;93;1610247,75
2014T1;Desde el exterior con España;Administración pública, impuestos y seg. Social;8411;13926555,97
2014T1;Desde el exterior con España;Agencias de viajes y operadores turísticos;7911 + 7912;240938972,71
2014T1;Desde el exterior con España;Alquiler de aeronaves;7735;21695,04
2014T1;Desde el exterior con España;Alquiler de automóviles;7711;10632231,44
2014T1;Desde el exterior con España;Alquiler de efectos personales y enseres domésticos;7729;0
2014T1;Desde el exterior con España;Alquiler de medios de navegación;7734;238782,29
2014T1;Desde el exterior con España;Arquitectura e ingeniería;7111;100937,2
2014T1;Desde el exterior con España;Artículos de regalo;4778;1821902,95
2014T1;Desde el exterior con España;Artículos médicos y ortopédicos;4774;0
2014T1;Desde el exterior con España;Asociacionismo y beneficencia;94;712169,29
2014T1;Desde el exterior con España;Bebidas;4725;1244,22
2014T1;Desde el exterior con España;Bibliotecas, museos y patrimonio cultural;91;454214,29
2014T1;Desde el exterior con España;Bienes de segunda mano;4779;0
