Trimestre;Sentido transacción;Ramas actividad;Código (armonización según CNAE y CNPA);Evolución trimestral del volumen de negocio (€)
2022T3;Desde España con el exterior;Servicios auxiliares a la intermediación financiera;6610;710446024,31
2022T3;Desde España con el exterior;Servicios de  jardinería;8130;329495,31
2022T3;Desde España con el exterior;Servicios de fotografía y reprografía;7420+ 8219;7038529,11
2022T3;Desde España con el exterior;Servicios de investigación;8030;342755,35
2022T3;Desde España con el exterior;Servicios de limpieza;8121;376893,35
2022T3;Desde España con el exterior;Servicios informáticos;6209;74362462,44
2022T3;Desde España con el exterior;Servicios inmobiliarios;6820;15694181,75
2022T3;Desde España con el exterior;Servicios postales y paquetería;5310;14331914,41
2022T3;Desde España con el exterior;Servicios sanitarios;86;11378589,02
2022T3;Desde España con el exterior;Servicios sociales;88;1551531,28
2022T3;Desde España con el exterior;Servicios veterinarios;75;661564,78
2022T3;Desde España con el exterior;Suscripción canales tv;6020;370463400,39
2022T3;Desde España con el exterior;Transporte aéreo;5110;601491163,59
2022T3;Desde España con el exterior;Transporte marítimo;5010;26669600,42
2022T3;Desde España con el exterior;Transporte terrestre de mercancias;4941;1250498,08
2022T3;Desde España con el exterior;Transporte terrestre de viajeros;4931 +4933 + 4939;214683886,82
2022T3;Desde España con el exterior;Vehículos de motor;4511;4809659,64
2022T3;Desde España con el exterior;Ventas genéricas por internet;4791;0
2022T4;Dentro de España;Actividades anexas al transporte;5221 + 5223;34838719,87
2022T4;Dentro de España;Actividades cinematográficas y de vídeo;5917 + 7722;56373931,04
2022T4;Dentro de España;Actividades deportivas y recreativas;93;70710163,99
2022T4;Dentro de España;Administración pública, impuestos y seg. Social;8411;588587452,44
2022T4;Dentro de España;Agencias de viajes y operadores turísticos;7911 + 7912;325403359,33
2022T4;Dentro de España;Alquiler de aeronaves;7735;935552,54
2022T4;Dentro de España;Alquiler de automóviles;7711;26843545,32
2022T4;Dentro de España;Alquiler de efectos personales y enseres domésticos;7729;0
2022T4;Dentro de España;Alquiler de medios de navegación;7734;406390,75
2022T4;Dentro de España;Arquitectura e ingeniería;7111;4211709,95
2022T4;Dentro de España;Artículos de regalo;4778;50627775,73
2022T4;Dentro de España;Artículos médicos y ortopédicos;4774;20119,9
2022T4;Dentro de España;Asociacionismo y beneficencia;94;24322205,13
2022T4;Dentro de España;Bebidas;4725;16074988,82
2022T4;Dentro de España;Bibliotecas, museos y patrimonio cultural;91;10345645,93
2022T4;Dentro de España;Bienes de segunda mano;4779;0
2022T4;Dentro de España;Calzado y artículos de cuero;4772;31662688,86
2022T4;Dentro de España;Carburantes para automoción;4730;516799916,91
2022T4;Dentro de España;Componentes y equipos electrónicos;4652;0
2022T4;Dentro de España;Construcción de inmuebles y obras de ingeniería civil;41;108436,17
2022T4;Dentro de España;Descargas de aplicaciones y contenidos y otros servicios de gestión;6312 + 6920;0
2022T4;Dentro de España;Discos, libros, periódicos y papelería;4761 + 4763;77865114,42
2022T4;Dentro de España;Educación;85;183510078,19
2022T4;Dentro de España;Electrodomésticos,  imagen y sonido;4743+4754;353482681,19
2022T4;Dentro de España;Energía eléctrica, gas, vapor y aire acondicionado;35;147360119,93
2022T4;Dentro de España;Ensayos y análisis técnicos;7120;0
2022T4;Dentro de España;Equipos de telecomunicaciones y recargas telefónicas;61 + 4742;112049424,1
2022T4;Dentro de España;Equipos y mobiliario de oficina;4665+4666;0
2022T4;Dentro de España;Espectáculos artísticos, deportivos y recreativos;90 + 7990;436100119,1
